species,l_max,l_mat,k_vb,beta,sigma,biomass_cutoff,biomass_observed,h,a,b,refuge_user,bad_pred,linecolour,rep_species,old_groups,func_group
pisc_grab ,80,25,0.1,150,1,17.80529807,200,inf,0.0174,3.01,TRUE,TRUE,#b95236,Lutjanus apodus,predator,Grabbing Piscivores
pisc_eng,43,16,0.4,250,2.5,14.17074507,30,inf,0.011,3.11,TRUE,TRUE,#d35569,Cephalopholis cruentatus,predator,Engulfing Piscivores
pred_inv,45,17,0.4,5000,2,0,80,inf,0.012,3.1,TRUE,TRUE,#58449e,Mulloidichthys martinicus,predator,Nocturnal Invertivores
pisc_crypt,8,3,1,100,2,0,0.25,inf,0.01122,3.04,FALSE,FALSE,#9b2f68,Gramma loreto,predator,Cryptobenthic Piscivores
pred_plank,20,8,1,8000,1,13.49042805,350,inf,0.01259,3.03,TRUE,TRUE,#678cde,Azurina multilineata,predator,Planktivores
eels,70,17,1,50,2.5,0,0.575,inf,0.00098,3.24,TRUE,FALSE,#d078ca,Gymnothorax miliaris,predator,Piscivorous Eels
parrotfish,64,16,0.6,10000,1,21.87424758,240,20,0.0257,2.93,TRUE,TRUE,#70c464,Sparisoma viride,herbivore,Parrotfish
farm_damsel,13,3,0.3,10000,1,19.05705282,8.5,20,0.02042,2.97,TRUE,TRUE,#aabc51,Stegastes planifrons,herbivore,Farming damselfish
herbs,45,22,1,10000,1,24.54757033,10.4,20,0.03236,2.88,TRUE,TRUE,#54832f,Holacanthus ciliaris,herbivore,Herbivores
inverts,50,5,1,100,1,0,100,20,0.025,3,FALSE,FALSE,#c7923f,Inverts,invertebrate,Benthic Invertebrates
